LastLat,LastLng,magX,magY,magZ,Lat,Lng
19.0759646,72.99212074,44.53735352,1.223754883,-19.58007813,19.0759646,72.99212074
19.0759646,72.99212074,44.61975098,1.127624512,-16.50390625,19.075969,72.99209642
19.075969,72.99209642,42.8817749,1.431274414,-15.13824463,19.07596306,72.99209316
19.07596306,72.99209316,44.31762695,2.963256836,-18.5546875,19.07596271,72.99208939
19.07596271,72.99208939,43.359375,1.721191406,-22.92480469,19.07596924,72.99210035
19.07596924,72.99210035,42.1661377,-0.895690918,-18.87512207,19.07596994,72.99210033
19.07596994,72.99210033,41.86859131,-6.057739258,-19.53887939,19.07597011,72.99210199
19.07597011,72.99210199,43.39141846,-3.526306152,-22.39685059,19.07597014,72.99210194
19.07597014,72.99210194,42.38433838,-4.275512695,-25.66223145,19.07597032,72.99210044
19.07597032,72.99210044,40.25726318,-4.821777344,-21.79107666,19.07597046,72.99209928
19.07597046,72.99209928,39.91546631,-9.663391113,-20.40557861,19.07597047,72.99209901
19.07597047,72.99209901,40.43884277,-8.139038086,-24.40185547,19.07597036,72.99210014
19.07597036,72.99210014,41.32843018,-9.379577637,-23.35510254,19.07597027,72.99210046
19.07597027,72.99210046,39.55535889,-10.4019165,-23.96697998,19.07597024,72.9921004
19.07597024,72.9921004,39.72015381,-12.40386963,-22.55249023,19.07597019,72.99210058
19.07597019,72.99210058,43.35784912,-11.84997559,-23.46038818,19.07597018,72.99210049
19.07597018,72.99210049,41.56494141,-14.20898438,-22.89581299,19.07597016,72.99210046
19.07597016,72.99210046,41.55426025,-12.22229004,-20.05004883,19.07597014,72.99210031
19.07597014,72.99210031,42.918396,-12.71057129,-18.35479736,19.07597013,72.99210002
19.07597013,72.99210002,43.47991943,-13.44604492,-19.68078613,19.07597011,72.99210004
19.07597011,72.99210004,41.1026001,-11.72332764,-21.48132324,19.0759701,72.99210012
19.0759701,72.99210012,43.87054443,-13.86260986,-18.2510376,19.07597007,72.99210015
19.07597007,72.99210015,41.8838501,-12.05291748,-19.72351074,19.07597008,72.99210041
19.07597008,72.99210041,43.52416992,-13.93737793,-21.49353027,19.0759701,72.99210052
19.0759701,72.99210052,44.45800781,-12.75939941,-21.0647583,19.07597009,72.99210046
19.07597009,72.99210046,42.88482666,-13.95263672,-20.01647949,19.07597009,72.9921004
19.07597009,72.9921004,43.24798584,-11.94915771,-19.83795166,19.0759701,72.99210038
19.0759701,72.99210038,42.62237549,-10.54077148,-20.40252686,19.07597014,72.99210024
19.07597014,72.99210024,43.70727539,-11.10229492,-21.55303955,19.07597018,72.99210027
19.07597018,72.99210027,44.89898682,-10.42785645,-19.85778809,19.07597016,72.99210039
19.07597016,72.99210039,44.43969727,-6.932067871,-20.88165283,19.07597016,72.99210044
19.07597016,72.99210044,43.71032715,-10.59875488,-22.65472412,19.07597016,72.99210049
19.07597016,72.99210049,45.02105713,-10.33477783,-21.43096924,19.07597014,72.99210048
19.07597014,72.99210048,43.8659668,-9.01184082,-23.27270508,19.07597014,72.99210043
19.07597014,72.99210043,42.00439453,-7.53326416,-24.74365234,19.0759701,72.99210022
19.0759701,72.99210022,44.98138428,-7.992553711,-24.41558838,19.07597008,72.99210014
19.07597008,72.99210014,43.8949585,-6.498718262,-26.57165527,19.07597002,72.99210008
19.07597002,72.99210008,43.23272705,-7.765197754,-24.62768555,19.07597001,72.99210004
19.07597001,72.99210004,43.44787598,-6.341552734,-25.95367432,19.07597001,72.99210003
19.07597001,72.99210003,44.38781738,-11.57531738,-25.71105957,19.07596998,72.9920999
19.07596998,72.9920999,43.49822998,-6.66809082,-27.293396,19.07596994,72.99209979
19.07596994,72.99209979,43.47686768,-8.50982666,-25.09613037,19.0759699,72.99209966
19.0759699,72.99209966,44.15283203,-6.326293945,-27.11334229,19.07596989,72.99209963
19.07596989,72.99209963,44.38934326,-7.655334473,-26.95465088,19.07596989,72.99209962
19.07596989,72.99209962,44.53430176,-6.820678711,-26.94549561,19.0759699,72.99209961
19.0759699,72.99209961,45.81756592,-7.804870605,-26.2802124,19.07596988,72.9920996
19.07596988,72.9920996,46.09222412,-6.20880127,-28.70788574,19.07596988,72.9920996
19.07596988,72.9920996,46.96807861,-5.206298828,-26.62658691,19.07596988,72.9920996
19.07596988,72.9920996,46.93450928,-3.034973145,-28.19366455,19.07596987,72.99209974
19.07596987,72.99209974,46.00982666,-3.880310059,-28.22723389,19.07596986,72.99209958
19.07596986,72.99209958,45.89233398,-3.047180176,-28.77807617,19.07596985,72.99209949
19.07596985,72.99209949,46.91619873,-0.706481934,-27.70996094,19.07596984,72.99209937
19.07596984,72.99209937,46.29669189,4.197692871,-27.54974365,19.0759698,72.99209934
19.0759698,72.99209934,47.63793945,-0.785827637,-26.03302002,19.0759698,72.99209931
19.0759698,72.99209931,45.84655762,1.61895752,-29.62493896,19.07596981,72.99209929
19.07596981,72.99209929,45.84197998,0.776672363,-27.58026123,19.07596981,72.99209929
19.07596981,72.99209929,46.13647461,-1.138305664,-26.55487061,19.07596978,72.99209928
19.07596978,72.99209928,5.986022949,31.88171387,-33.33740234,19.07596978,72.99209929
19.07596978,72.99209929,-19.04449463,21.52862549,-31.64520264,19.07596979,72.99209927
19.07596979,72.99209927,-33.09020996,-9.756469727,-24.97711182,19.0759698,72.99209928
19.0759698,72.99209928,-32.17163086,-16.07208252,-24.74212646,19.0759698,72.9920993
19.0759698,72.9920993,-31.53076172,-16.48101807,-24.72381592,19.07596978,72.99209929
19.07596978,72.99209929,-32.01599121,-11.99951172,-22.59063721,19.07596978,72.99209931
19.07596978,72.99209931,-32.43408203,-10.597229,-21.02050781,19.07596977,72.99209932
19.07596977,72.99209932,-31.55059814,-7.913208008,-22.7935791,19.07596976,72.9920993
19.07596976,72.9920993,-29.97741699,-7.312011719,-21.95281982,19.07596974,72.99209928
19.07596974,72.99209928,-29.61273193,-8.302307129,-22.81341553,19.07596975,72.99209926
19.07596975,72.99209926,-30.00640869,-9.484863281,-19.91424561,19.07596974,72.99209926
19.07596974,72.99209926,-30.13305664,-4.893493652,-23.12927246,19.07596974,72.99209925
19.07596974,72.99209925,-29.0145874,-7.374572754,-23.49853516,19.07596974,72.99209929
19.07596974,72.99209929,-28.88946533,-5.137634277,-20.48950195,19.07596973,72.99209935
19.07596973,72.99209935,-27.50854492,-7.192993164,-21.79718018,19.07596973,72.99209942
19.07596973,72.99209942,-27.65197754,-7.01751709,-24.40185547,19.07596972,72.99209946
19.07596972,72.99209946,-29.39910889,-4.138183594,-22.07794189,19.07596974,72.99209944
19.07596974,72.99209944,-26.60522461,2.980041504,-22.3526001,19.07596971,72.99209952
19.07596971,72.99209952,-26.40686035,-3.594970703,-22.37548828,19.07596971,72.99209964
19.07596971,72.99209964,-27.92816162,-4.946899414,-22.90344238,19.07596973,72.99209968
19.07596973,72.99209968,-28.15551758,-2.946472168,-24.00360107,19.07596979,72.99209966
19.07596979,72.99209966,-24.64141846,-2.229309082,-24.52087402,19.07596987,72.99209974
19.07596987,72.99209974,-25.75073242,-3.253173828,-22.27478027,19.07596988,72.99209981
19.07596988,72.99209981,-25.32653809,-0.993347168,-23.66943359,19.07596991,72.99209997
19.07596991,72.99209997,-27.96020508,-3.788757324,-21.16394043,19.07596993,72.99210006
19.07596993,72.99210006,-25.63934326,-0.331115723,-23.75488281,19.07596992,72.99210008
19.07596992,72.99210008,-26.24206543,-2.182006836,-21.26159668,19.07596987,72.99210012
19.07596987,72.99210012,-26.36108398,-0.758361816,-23.70147705,19.07596989,72.99210018
19.07596989,72.99210018,-26.91955566,-0.277709961,-21.19445801,19.07596994,72.99210019
19.07596994,72.99210019,-25.33569336,1.329040527,-21.69036865,19.07596997,72.99210012
19.07596997,72.99210012,-26.14746094,-1.275634766,-18.96820068,19.07597,72.99210007
19.07597,72.99210007,-25.60577393,1.586914063,-24.1394043,19.07597004,72.99210001
19.07597004,72.99210001,-25.43640137,-0.587463379,-21.6217041,19.07597005,72.99209998
19.07597005,72.99209998,-24.93896484,1.412963867,-20.652771,19.0759701,72.99210007
19.0759701,72.99210007,-26.80664063,-2.119445801,-18.20373535,19.07597005,72.99210004
19.07597005,72.99210004,-24.33624268,2.928161621,-22.20306396,19.07596998,72.99210004
19.07596998,72.99210004,-24.98626709,2.159118652,-20.01953125,19.07596996,72.99210003
19.07596996,72.99210003,-24.48883057,1.000976563,-20.0088501,19.07596998,72.99210008
19.07596998,72.99210008,-24.8916626,0.160217285,-19.5526123,19.07596994,72.99210008
19.07596994,72.99210008,-24.3560791,1.084899902,-19.76928711,19.07597001,72.99210041
19.07597001,72.99210041,-24.40643311,-1.664733887,-19.46716309,19.07597002,72.99210102
19.07597002,72.99210102,-22.97210693,-1.312255859,-19.34204102,19.07596989,72.9921041
19.07596989,72.9921041,-21.66442871,-1.722717285,-16.54510498,19.07596991,72.99210499
19.07596991,72.99210499,-23.38256836,-5.053710938,-21.89331055,19.07596996,72.99210534
19.07596996,72.99210534,-23.19335938,-6.228637695,-19.13452148,19.07596999,72.9921054
19.07596999,72.9921054,-23.56414795,-3.591918945,-13.77563477,19.07597003,72.99210577
19.07597003,72.99210577,-24.49951172,-5.191040039,-13.2598877,19.07597007,72.9921061
19.07597007,72.9921061,-25.04119873,-5.604553223,-15.48614502,19.07597009,72.9921065
19.07597009,72.9921065,-25.34332275,-8.363342285,-14.01062012,19.07597017,72.9921064
19.07597017,72.9921064,-24.84283447,-3.625488281,-10.42633057,19.07597028,72.99210648
19.07597028,72.99210648,-26.36566162,-5.905151367,-8.277893066,19.07597035,72.9921068
19.07597035,72.9921068,-28.66668701,-9.666442871,-12.30773926,19.07596969,72.99211093
19.07596969,72.99211093,-29.13513184,-11.01226807,-10.51483154,19.07596919,72.99211444
19.07596919,72.99211444,-28.3416748,-1.699829102,-5.010986328,19.07596909,72.99211515
19.07596909,72.99211515,-31.22406006,-6.147766113,-6.538391113,19.07596911,72.99211608
19.07596911,72.99211608,-30.58929443,-12.78686523,-9.387207031,19.07596924,72.99211654
19.07596924,72.99211654,-32.03582764,-5.000305176,-4.983520508,19.07596924,72.99211728
19.07596924,72.99211728,38.80310059,8.061218262,-2.46887207,19.0759977,72.99235804
19.0759977,72.99235804,41.78619385,-0.494384766,2.630615234,19.07599751,72.9923309
19.07599751,72.9923309,39.24560547,-3.34777832,-0.692749023,19.07599194,72.99232384
19.07599194,72.99232384,39.26239014,-4.830932617,-4.010009766,19.07598784,72.99231634
19.07598784,72.99231634,38.47808838,-1.000976563,-6.381225586,19.07598151,72.99231009
19.07598151,72.99231009,37.34436035,-3.78112793,-2.725219727,19.07597737,72.99230094
19.07597737,72.99230094,36.76300049,-2.60925293,-6.127929688,19.07597265,72.99229615
19.07597265,72.99229615,36.4944458,-5.766296387,-8.35723877,19.07597005,72.9922948
19.07597005,72.9922948,37.19329834,-5.577087402,-11.32965088,19.07596838,72.99229091
19.07596838,72.99229091,37.20550537,-6.178283691,-7.391357422,19.07596868,72.99228911
19.07596868,72.99228911,37.14752197,-4.917907715,-10.06622314,19.07597044,72.99228351
19.07597044,72.99228351,37.0223999,-7.57598877,-11.89575195,19.07597097,72.99228157
19.07597097,72.99228157,38.78936768,-6.465148926,-12.78076172,19.07597127,72.99227963
19.07597127,72.99227963,38.95568848,-5.307006836,-10.32714844,19.07597145,72.99227383
19.07597145,72.99227383,38.3895874,-7.054138184,-12.7166748,19.07597461,72.99226419
19.07597461,72.99226419,39.47753906,-10.86273193,-13.96179199,19.07597559,72.99226153
19.07597559,72.99226153,40.06652832,-9.928894043,-16.065979,19.07597629,72.9922596
19.07597629,72.9922596,40.03295898,-9.02557373,-13.61999512,19.07597642,72.99225922
19.07597642,72.99225922,39.86663818,-10.3515625,-15.52276611,19.07597651,72.99225892
19.07597651,72.99225892,40.6036377,-12.92724609,-14.17236328,19.07597652,72.99225883
19.07597652,72.99225883,41.31774902,-12.66479492,-15.01464844,19.07597646,72.99225877
19.07597646,72.99225877,39.93225098,-11.36322021,-12.21466064,19.07597644,72.99225878
19.07597644,72.99225878,40.80810547,-12.42523193,-14.16320801,19.07597652,72.99225873
19.07597652,72.99225873,41.55426025,-14.50042725,-13.12408447,19.07597658,72.99225878
19.07597658,72.99225878,42.63000488,-12.31994629,-13.47503662,19.0759766,72.99225875
19.0759766,72.99225875,41.39556885,-12.75787354,-12.49237061,19.0759766,72.99225876
19.0759766,72.99225876,40.71960449,-10.09216309,-14.70794678,19.0759766,72.99225886
19.0759766,72.99225886,40.79437256,-13.09051514,-14.4821167,19.07597661,72.99225884
19.07597661,72.99225884,42.10968018,-8.827209473,-14.10675049,19.07597662,72.99225879
19.07597662,72.99225879,41.78466797,-9.336853027,-12.62207031,19.07597663,72.99225877
19.07597663,72.99225877,40.4800415,-8.253479004,-17.22869873,19.07597662,72.99225882
19.07597662,72.99225882,41.77398682,-11.89880371,-17.04711914,19.07597662,72.99225882
19.07597662,72.99225882,41.74957275,-9.312438965,-18.45397949,19.07597662,72.99225882
19.07597662,72.99225882,41.09191895,-7.421875,-15.15655518,19.07597662,72.99225882
19.07597662,72.99225882,41.93572998,-6.565856934,-17.72613525,19.07597661,72.99225882
19.07597661,72.99225882,42.61932373,-8.474731445,-16.6885376,19.0759766,72.99225881
19.0759766,72.99225881,42.18292236,-6.636047363,-19.68994141,19.07597662,72.99225879
19.07597662,72.99225879,41.99523926,-3.314208984,-18.26171875,19.07597664,72.99225874
19.07597664,72.99225874,42.76428223,-0.053405762,-19.16809082,19.07597665,72.99225873
19.07597665,72.99225873,42.3034668,-7.051086426,-19.76623535,19.07597667,72.99225864
19.07597667,72.99225864,42.72155762,-2.217102051,-19.49462891,19.07597668,72.99225858
19.07597668,72.99225858,45.74279785,-1.188659668,-16.55883789,19.0759767,72.99225852
19.0759767,72.99225852,44.58618164,-0.537109375,-16.67022705,19.0759767,72.99225852
19.0759767,72.99225852,44.88983154,-0.347900391,-20.83740234,19.07597671,72.99225849
19.07597671,72.99225849,46.02508545,-5.749511719,-19.72198486,19.0759767,72.99225849
19.0759767,72.99225849,46.41571045,-1.654052734,-21.89941406,19.07597669,72.9922585
19.07597669,72.9922585,49.62310791,-4.454040527,-18.81561279,19.07597669,72.99225851
